,0,Longitude,Latitude,Temperature,Humidity,Cloudiness,Wind_Speed
451,Gimli,-96.9907,50.6336,5.0,60,100,2.06
452,Verkhnevilyuysk,120.3167,63.4453,-6.36,78,100,4.78
453,Saint-Marc,-72.6938,19.1082,26.2,70,3,1.73
454,Southern Pines,-79.3923,35.174,11.11,81,75,2.53
455,Sola,167.55,-13.8833,29.0,89,75,4.06
456,Río Gallegos,-69.2181,-51.6226,9.38,61,31,4.3
457,Bandarbeyla,50.8122,9.4942,28.79,69,13,2.57
458,Kirkenes,30.0458,69.7271,2.0,80,77,4.63
459,Alofi,-169.9187,-19.0595,23.0,94,3,0.51
460,San Patricio,-97.5169,28.017,14.44,62,75,6.69
461,Ayan,138.1667,56.45,-1.82,88,98,2.12
462,Namatanai,152.4333,-3.6667,28.75,75,94,6.83
463,Alta,23.2717,69.9689,1.67,75,0,1.54
464,‘Ewa Beach,-158.0072,21.3156,23.0,68,1,3.09
465,Hornepayne,-84.7705,49.2138,-0.08,73,38,1.97
466,Tahe,124.7333,52.3333,16.41,28,5,4.09
467,Caraquet,-64.9386,47.7941,1.0,86,100,2.57
468,Povenets,34.8262,62.8487,4.03,80,13,2.03
469,Xining,101.7667,36.6167,16.27,18,22,2.17
470,Kaeo,173.7833,-35.1,16.11,80,99,1.04
471,Kismayo,42.5454,-0.3582,29.51,69,22,3.72
472,Inhambane,35.3833,-23.865,20.0,94,75,2.06
473,Markova,24.4138,48.6758,6.0,87,75,1.0
474,Udachny,112.4,66.4167,-10.48,77,100,7.3
475,Slave Lake,-114.769,55.2834,3.0,87,90,2.06
476,Phuket,98.25,8.0,31.11,66,20,4.63
477,Fria,-13.5833,10.4167,23.73,90,100,1.12
478,Lagos,3.75,6.5833,27.0,94,75,0.98
479,Ngunguru,174.5,-35.6167,16.11,80,100,3.13
480,Duncan,-97.9578,34.5023,7.78,87,75,2.57
481,Rome,-75.4557,43.2128,4.0,81,75,0.61
482,Banes,-75.7186,20.9625,24.0,83,1,3.09
483,White Bear Lake,-93.0099,45.0847,6.67,56,1,1.89
484,Marshalltown,-92.908,42.0494,7.78,65,90,3.09
485,Vanimo,141.3028,-2.6741,27.37,81,90,2.28
486,Yulara,130.9889,-25.2406,24.0,20,0,6.69
487,La Ronge,-105.2842,55.1001,0.0,59,97,5.14
488,Samarai,150.6667,-10.6167,28.88,74,72,6.64
489,Manfredonia,15.9094,41.6259,8.0,76,20,3.09
490,Funtua,7.3081,11.5233,22.88,72,90,3.91
491,Boden,21.6886,65.8252,0.0,93,0,1.54
492,Ayagoz,80.4392,47.9714,15.67,40,29,1.96
493,Ust-Tsilma,52.1498,65.441,-3.79,52,47,2.74
494,Trelew,-65.3051,-43.249,15.09,88,96,7.46
495,Cairns,145.7667,-16.9167,25.0,100,75,5.14
496,Natal,-35.2094,-5.795,24.0,94,75,1.54
497,Vienna,16.3721,48.2085,6.11,81,90,4.12
498,Vredendal,18.5012,-31.6683,26.86,13,0,4.67
499,Thinadhoo,72.9333,0.5333,28.23,62,41,3.02
500,Alice Springs,133.8833,-23.7,23.33,18,0,5.66
501,São João da Barra,-41.0511,-21.6403,23.6,84,100,6.01
502,Erenhot,111.9767,43.6475,19.13,6,20,8.88
503,Taoudenni,-3.9836,22.6783,23.54,24,0,6.96
504,Nuevo Casas Grandes,-107.9167,30.4167,12.78,43,0,0.45
505,Mae Sai,99.8762,20.4335,31.11,70,40,1.54
506,Camacha,-16.3333,33.0833,16.0,77,40,4.12
507,Kalmunai,81.8167,7.4167,30.62,61,99,1.27
508,Grand-Santi,-54.3833,4.25,20.74,99,84,0.78
509,Pasinler,41.6764,39.9803,11.0,58,0,0.51
510,Kodīnar,70.7031,20.7903,34.64,33,0,3.85
511,Salalah,54.0924,17.0151,30.0,62,20,2.06
512,Kattivākkam,80.3167,13.2167,35.0,46,40,3.6
513,Naze,129.4833,28.3667,20.0,49,40,8.75
514,Barkhan,69.5256,29.8977,27.32,17,3,4.95
515,Izazi,35.7333,-7.2,18.0,72,40,5.66
516,Roald,6.1333,62.5833,7.0,53,0,4.63
517,Darhan,105.9228,49.4867,6.83,30,39,7.37
518,Djambala,14.7533,-2.5447,22.32,87,87,0.31
519,Itaituba,-55.9836,-4.2761,22.58,99,100,1.13
520,Birao,22.7882,10.2849,27.89,10,75,2.4
521,Urengoy,78.3667,65.9667,-13.77,85,100,6.43
522,Laichow,119.9214,37.1717,19.28,19,0,3.17
523,Panjāb,67.0233,34.388,6.4,34,7,2.3
524,Tukan,57.4552,53.8409,10.25,51,2,2.64
525,Obsharovka,48.8531,53.125,11.4,53,96,5.26
526,Nicşeni,26.6333,47.8667,10.0,66,0,1.03
527,Pag,15.0575,44.445,8.0,76,75,1.03
528,Salym,71.4789,60.0625,-7.19,51,100,7.12
529,Iracoubo,-53.2011,5.4802,25.23,79,95,5.8
530,Ode,5.7117,7.7899,22.22,95,100,3.16
531,College,-147.8028,64.8569,5.0,60,1,1.54
532,Arman',150.1667,59.7,0.27,95,100,0.11
533,Kuching,110.3333,1.55,28.0,78,40,1.03
534,Merrill,-89.6835,45.1805,9.0,80,1,0.88
535,Shreveport,-93.7502,32.5251,11.11,76,90,3.6
536,Ukwā,80.4667,21.9667,37.9,12,15,2.27
537,Lhokseumawe,97.1507,5.1801,29.94,65,81,2.71
538,Bathsheba,-59.5167,13.2167,26.0,61,20,9.26
539,Gagra,40.2239,43.3283,17.0,72,90,5.0
540,Östersund,14.6357,63.1792,1.0,75,14,2.06
541,Purwodadi Grobogan,110.9158,-7.0868,31.0,66,20,4.12
542,Sauda,6.3542,59.6506,5.0,75,24,3.29
543,Dolores,-57.6792,-36.3132,16.17,95,9,2.32
544,Namwala,26.4384,-15.7504,17.58,74,91,4.62
545,Gornyye Klyuchi,133.5,45.25,14.62,32,16,5.71
546,Loandjili,11.8578,-4.7561,25.0,94,20,1.03
547,Pangkalanbuun,111.6167,-2.6833,31.05,57,92,2.25
548,Sarakhs,61.1577,36.5449,26.0,31,3,2.06
549,Provincia di Lecce,18.1667,40.2167,12.22,76,0,1.03
550,Oxapampa,-75.4017,-10.5775,14.63,97,97,0.83
551,City of Saint Peters,-90.6265,38.8003,10.0,87,75,2.57
552,Crixás,-49.9692,-14.5489,20.88,88,14,0.69
553,Izhma,53.9113,65.0083,-3.86,50,68,3.25
